Complexity,Loss,Equation
1,264810.9,"2046.7786"
3,258185.95,"16839.084 / x3"
4,254916.92,"1.297572 ^ sqrt(x2)"
5,254810.92,"sqrt(exp(x2 ^ 0.40272698))"
6,254397.22,"(1.288948 ^ sqrt(x2)) + x0"
7,253723.66,"x0 + (x2 * (13.59013 / x3))"
8,252802.19,"x1 + ((x2 * sqrt(x0)) / x3)"
9,252502.97,"x0 + (((0.02380105 * x2) ^ 3.0912833) / x3)"
11,252261.72,"(x0 - -69.54414) + (((0.019422958 * x2) ^ 3.2767847) / x3)"
12,251931.61,"sqrt(x0) * ((((x2 * 0.01828288) ^ 2.4227087) / x3) + 14.293366)"
14,251794.62,"((((0.016089845 * x2) ^ 2.5718706) / (x3 + x4)) + 14.612987) * sqrt(x0)"
15,251594.84,"sqrt(x0) * (((((x2 * 0.018109148) ^ 2.5007267) / x3) * cos(x4)) + 15.3909025)"
17,251560.48,"sqrt(x0) * ((cos(-0.1649332 - x4) * (((x2 * 0.017984895) ^ 2.5582302) / x3)) + 15.545097)"
19,251501.31,"(sqrt(x0) + 2.721377) * (((cos(x4) * ((x2 * 0.016606422) ^ 2.5595958)) / (x3 + x4)) + 11.944416)"
20,251484.98,"((cos(x4) * (((x2 * 0.016698446) ^ 2.559596) / (x3 + tan(x4)))) + 11.944416) * (sqrt(x0) + 2.721377)"
22,251482.28,"(((cos(x4 / 0.9433464) * ((0.016698446 * x2) ^ 2.559596)) / (tan(x4) + x3)) + 11.944416) * (sqrt(x0) + 2.721377)"
23,251474.52,"((11.664346 + ((((x2 * 0.01677777) ^ 2.559596) * cos(x4)) / (x3 + tan(x4)))) * (2.559596 + sqrt(x0))) + sqrt(x3)"
24,251458.44,"((sqrt(x0) + 2.7179124) * ((((0.01677777 * x2) ^ 2.559596) * (cos(x4) / (tan(x4) + x3))) + 11.190086)) - (x3 * -0.11486051)"
25,251443.62,"((((((x2 * 0.017310133) ^ 2.591418) * cos(-0.16474399 - x4)) / (x3 + 0.9216314)) + 11.133886) * (sqrt(x0) + 2.7227101)) - (x3 * -0.10678694)"
