Complexity,Loss,Equation
1,264810.9,"2046.6785"
3,258516.52,"17623.332 / x1"
4,255814.58,"exp(x2 ^ 0.2998696)"
5,254810.92,"sqrt(exp(x2 ^ 0.4027298))"
6,254748.78,"exp((x2 / 10.128104) ^ 0.45782846)"
7,253988.36,"x0 + ((x2 / x1) * 14.176773)"
8,253007.83,"sqrt(x0) * ((x2 / x1) + 11.31545)"
9,252872.38,"sqrt(x0) * ((x2 / x1) + sqrt(x1))"
11,252687.55,"((x0 + x2) * (x2 / (x1 * 78.338615))) + x0"
12,252218.34,"sqrt(x0) * ((x2 * (x2 / (x1 * 894.82184))) - -13.845047)"
14,252181.97,"(((x2 * (x2 + -319.99182)) * sqrt(x0)) / (x1 * 541.1863)) - -186.52165"
16,252162.75,"(x0 + (((x2 * (x2 / (x1 * 899.8159))) - 12.348886) * sqrt(x0))) - -160.3915"
18,252064.03,"((sqrt(x0) * (x2 * ((x2 * 0.16461742) + -59.321953))) / ((x1 + 2.0357416) * 61.63198)) + 177.56342"
20,252046.5,"(x2 * ((((x2 * 0.277113) + -104.25302) + x1) * (sqrt(x0) / ((x1 + 1.4886258) * 111.69544)))) - -139.13564"
