Complexity,Loss,Equation
1,54580.836,"0.09762765"
2,54580.832,"sin(0.09775572)"
3,50728.336,"0.38922644 ^ x1"
4,50728.332,"exp(x1 * -0.94367313)"
5,40817.31,"0.21889539 ^ (1.2173133 ^ x1)"
7,40784.066,"(0.17666191 ^ (1.1999626 ^ x1)) * 1.2620335"
8,39418.742,"exp((x2 - x1) / 1.7059892) / 4.3052464"
9,39417.344,"sin(exp((x2 - x1) / 1.701977) / 4.286121)"
10,39134.957,"exp(((x2 ^ 2.7683084) - x1) / 1.7193061) / 3.7486503"
11,38598.07,"sin(exp((x2 - x1) / (x0 ^ 0.08696432)) / 4.4593983)"
13,37618.227,"exp(x2 - ((x1 * 19.154705) / sqrt(x0 + 625.832))) / 6.491702"
14,37611.605,"sin(exp(x2 - ((x1 * 19.154705) / sqrt(x0 + 625.832))) / 6.491702)"
15,37266.46,"exp(x2 - ((x1 * 16.238243) / (sqrt(x0) + (2467.5818 / x0)))) / 6.3647656"
16,37257.445,"sin(exp(x2 - ((x1 * 16.238243) / (sqrt(x0) + (2467.5818 / x0)))) / 6.3647656)"
17,37247.883,"sin(sin(exp(x2 - (x1 * (16.310066 / (sqrt(x0) + (2467.6008 / x0))))) / 6.3016815))"
18,36983.19,"sin(exp((7.2974515 * (x2 - x1)) / ((3699.8196 / x0) + (sqrt(x0) + -18.436375))) / 4.7632833)"
19,36239.91,"sin(exp(((exp(x2) - x1) * 4.2134786) / ((3613.1565 / x0) + (sqrt(x0) + -23.78651))) / 8.932951)"
21,36136.375,"sin(exp((exp(x2) - x1) * (3.5229893 / (((3637.8713 / x0) + -27.186298) + sqrt(x0 - -101.44061)))) / 8.868189)"
22,36130.312,"sin(exp((exp(x2) - x1) * (3.881962 / ((sqrt(x0) + ((3611.6401 / x0) + cos(x1))) + -24.262701))) / 8.684174)"
23,36104.348,"sin(exp((exp(x2 * x2) - x1) * (4.1400485 / ((sqrt(x0) + -11.722816) + ((3615.7085 / x0) + -11.929574)))) / 7.865615)"
24,35879.89,"sin(exp((exp(x2 * x2) - x1) * (4.930299 / ((3632.946 / x0) + (sqrt(x0) + (sin(x1) + -22.039358))))) / 7.8924394)"
28,35841.445,"sin(exp(((exp((x2 * x2) - (x1 / 33.17913)) - x1) * 5.1073675) / ((sin(x1) + (sqrt(x0) + (3615.706 / x0))) + -21.424944)) / 7.6078687)"
30,35799.773,"sin(exp(((exp(x2 * (x2 - (x1 / 39.420135))) - x1) * 4.8219037) / (sqrt(x0) + (((3613.881 / x0) + sin(x1 - -0.38994467)) + -22.06905))) / 7.64271)"
