Complexity,Loss,Equation
1,54580.832,"0.09759628"
3,50728.336,"0.38921437 ^ x1"
4,50728.332,"sqrt(0.15147342 ^ x1)"
5,40817.273,"0.21892545 ^ (1.2174624 ^ x1)"
6,40757.625,"(exp(x1) + 6.839321) ^ -0.83262414"
7,39418.742,"0.23233777 / (1.7972761 ^ (x1 - x2))"
8,39138.3,"0.25802517 / ((1.7879516 ^ x1) * cos(x2))"
9,38998.137,"(0.3119075 ^ cos(cos(x1))) / (1.9164717 ^ x1)"
10,38577.36,"0.23355006 / (1.8415089 ^ (x1 - sin(exp(sin(x1)))))"
11,37615.7,"(0.21276739 ^ cos(cos(x1))) / (2.0152628 ^ (x1 - x2))"
12,37391.11,"(0.25480255 ^ cos(cos(x1))) / ((1.9846479 ^ x1) * cos(x2))"
13,36501.723,"(0.19433886 ^ cos(cos(x1 / 0.89336973))) / (1.9911727 ^ (x1 - x2))"
14,36302.484,"(0.23025364 ^ cos(cos(x1 * 1.1262944))) / ((1.9580042 ^ x1) * cos(x2))"
16,36192.258,"(0.18619399 ^ cos(cos(x1 * 1.1264201))) / (cos(x2) * ((1.9017456 ^ x1) + -0.36658052))"
18,36054.055,"(0.24970615 ^ (cos(cos(x1 * 1.1223079)) + (99.26843 / x0))) / ((1.8568245 ^ x1) * cos(x2))"
19,35956.582,"(0.29059935 ^ (sin(265.62344 / x0) + cos(cos(x1 * 1.117646)))) / (cos(x2) * (1.7437894 ^ x1))"
20,35498.58,"(0.21545416 / ((cos(cos(x1 * 1.1289986)) + (325.19943 / x0)) + -0.4741867)) / (1.9797585 ^ (x1 * cos(x2)))"
