Complexity,Loss,Equation
1,116623.44,"3399.2537"
3,114637.516,"x2 ^ 1.1842465"
4,114368.9,"exp(x2 ^ 0.3065932)"
5,113983.27,"x2 + (13886.088 / x1)"
7,113515.305,"((x2 ^ 1.4052081) / x1) + 659.47675"
8,113393.836,"(x2 * (sqrt(x0) / x1)) + 660.9755"
10,113373.64,"(sqrt(x0) * (x2 / (x1 ^ 0.9388479))) + 588.2196"
11,113309.63,"((24.500883 / x1) * ((x0 + x2) - 610.46155)) + 774.96"
12,113288.51,"((x2 + -451.1292) * ((sqrt(x0) / x1) * 1.9177644)) + 759.8004"
13,113243.51,"(((x0 + -576.3467) + x2) * (29.699318 / (x1 + 1.1177182))) + 717.5953"
14,113202.85,"((x0 + (x2 + -571.35785)) * (sqrt(x2) / (x1 + 1.4504461))) + 705.97144"
16,113189.07,"(sqrt(x2) * (((x2 + (x0 + -521.0226)) / (x1 + 1.5205764)) - 20.344456)) + 1130.3315"
18,113171.52,"((sqrt(x2) + 11.779827) * ((((x2 + -596.4132) + x0) / (x1 + 2.3592484)) - 38.471676)) + 1997.9646"
20,113168.195,"((sqrt(x2) + 14.984101) * (((x2 + (x0 + -607.37555)) / (x1 + log(sqrt(x0)))) - 41.601105)) + 2239.3948"
