Complexity,Loss,Equation
1,189932.42,"0.16019645"
3,177027.7,"0.46123692 ^ x1"
5,163473.61,"(0.31702432 ^ x1) + 0.03301324"
6,162523.03,"(0.7179434 / exp(x1)) + 0.032078028"
7,161777.94,"(sqrt(x2) / exp(x1)) + 0.029425219"
8,161422.7,"(0.68979365 / exp(x1)) + (x2 * 0.05663115)"
9,161199.67,"(0.41241506 ^ (x1 + (1.1483185 - x2))) + 0.025459955"
10,160993.72,"(cos(cos(-2.198197 - x1)) / exp(x1)) + 0.027183546"
11,160850.47,"(0.33719075 ^ ((cos(sin(x2)) * x1) + 0.41273487)) + 0.025397476"
12,159707.14,"((2.2965732 ^ (sin(x1) + x2)) * 0.03590722) + (0.12027748 ^ x1)"
13,159644.6,"(0.13185889 ^ x1) + ((2.5053382 ^ (x2 + sin(sin(x1)))) * 0.0337151)"
14,159466.86,"(0.1746895 ^ (x1 + 0.20593494)) + ((2.2390382 ^ (sin(x1) + x2)) * 0.035418987)"
15,159368.83,"((0.18704852 ^ x1) / 1.4745917) + ((2.4797297 ^ (sin(sin(x1)) + x2)) * 0.03307554)"
16,159029.48,"((0.2325724 ^ (x1 + (sin(log(x0)) * cos(x1)))) + 0.021656027) * (1.9915363 ^ x2)"
18,158960.97,"(2.0950482 ^ x2) * ((0.22801794 ^ (x1 + (sin(log(x0)) * (cos(x1) * 1.1141874)))) + 0.02067396)"
19,158853.0,"(2.0950482 ^ x2) * ((0.22801794 ^ (x1 + (sin(log(x0)) * sin(1.3539985 * cos(x1))))) + 0.02067396)"
