Complexity,Loss,Equation
1,1.3688339e6,"3365.6157"
3,1.3435901e6,"x2 ^ 1.185708"
5,1.3386626e6,"exp(exp(x2 ^ 0.10802515))"
6,1.3362682e6,"exp(x2 ^ 0.303989) + 301.2786"
7,1.3299416e6,"((x2 / x1) * 17.304224) - -608.32764"
9,1.3283705e6,"((x2 * x2) / (x1 * 58.436363)) + 685.89526"
11,1.3267332e6,"((x2 * ((x1 + 9.861355) ^ -2.0718105)) * x2) + 670.263"
13,1.325671e6,"(((x2 + x0) * x2) * ((x1 + 10.10358) ^ -2.1480358)) + 661.25824"
15,1.3250862e6,"(((x1 + 9.781931) ^ -1.9826547) * (x2 * (x0 + (x2 - 479.13873)))) + 690.55804"
17,1.3249119e6,"(x0 + (((x0 + (x2 - 412.21103)) * x2) * ((x1 + 8.774151) ^ -2.0855052))) + 543.5422"
18,1.3248954e6,"((x2 * ((x1 + log(x2)) ^ -1.6600727)) * (((x2 + x0) / 3.3287864) - 151.22403)) + 691.19775"
19,1.3248911e6,"((x2 * (((x2 + x0) - x1) - 410.97534)) * ((x1 + 8.897392) ^ -2.0762744)) + (x0 + 544.8123)"
20,1.3248059e6,"((((x2 + x0) / 4.4033628) - (x1 + 113.37772)) * (((log(x2) + x1) ^ -1.5399649) * x2)) + 723.14154"
