Complexity,Loss,Equation
1,3.051e7,"2005.3"
3,2.876e7,"x2 ^ 1.1612"
4,2.790e7,"exp(x2 ^ 0.30307)"
5,2.778e7,"(x2 ^ 1.4207) / x1"
6,2.751e7,"(x2 * sqrt(x0)) / x1"
7,2.745e7,"((x0 + x2) ^ 1.3768) / x1"
8,2.695e7,"sqrt(x0 / x1) * (x2 + -452.67)"
10,2.692e7,"sqrt((x0 + 62.805) / x1) * (x2 + -498.4)"
12,2.689e7,"((x2 * sqrt(x0)) * (x2 / (x1 + 3.4038))) * 0.002086"
13,2.689e7,"((x2 * x2) * ((x0 + 346.1) * 5.4694e-05)) / (x1 + 3.5049)"
14,2.688e7,"x2 * (sqrt(x0 + 36.007) * ((x2 * 0.0019988) / (x1 + 3.5654)))"
15,2.688e7,"((x2 * 0.059425) * ((x2 * 0.65393) + (x0 + -322.94))) / (x1 + 3.9165)"
16,2.687e7,"(log(x0) / (x1 + 3.887)) * ((((x0 + x2) * x2) * 0.0060461) + -1209.1)"
17,2.687e7,"(x2 + (x0 + -376.25)) * ((sin(log(x0) / (x1 + 1.8807)) * 0.0062898) * x2)"
19,2.687e7,"(((((x0 + (x2 * 0.51103)) * 0.081031) / (x1 + 4.6929)) - 0.95314) * (x2 + -329.46)) + x0"
